path,string
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024189\3024189-ABS.ZA01-20-AAE-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024189 ABS.ZA01-20-AAE Depth Filter Cartridge (3024189)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 1.0   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Encap. Gasket   O-Ring / Gasket /  EPDM        Length in inch 20   Length in cm 50.8   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024261\3024261-ABS.ZA01-20-AAS-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024261 ABS.ZA01-20-AAS Depth Filter Cartridge (3024261)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 1.0   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Encap. Gasket   O-Ring / Gasket /  Silicon        Length in inch 20   Length in cm 50.8   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024263\3024263-ABS.ZA01-20-ESE-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024263 ABS.ZA01-20-ESE Depth Filter Cartridge (3024263)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 1.0   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 222   Adapter 2 Flat end   O-Ring / Gasket /  EPDM        Length in inch 20   Length in cm 50.8   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024264\3024264-ABS.ZA01-20-EST-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024264 ABS.ZA01-20-EST Depth Filter Cartridge (3024264)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 1.0   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 222   Adapter 2 Flat end   O-Ring / Gasket /  Teflon        Length in inch 20   Length in cm 50.8   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024265\3024265-ABS.ZA01-20-YYP-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024265 ABS.ZA01-20-YYP Depth Filter Cartridge (3024265)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 1.0   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Gasket   Adapter 2 Gasket   O-Ring / Gasket /  Santoprene        Length in inch 20   Length in cm 50.8   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024266\3024266-ABS.ZA01-30-AAE-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024266 ABS.ZA01-30-AAE Depth Filter Cartridge (3024266)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 1.0   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Encap. Gasket   O-Ring / Gasket /  EPDM        Length in inch 30   Length in cm 76.2   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024267\3024267-ABS.ZA01-30-AAS-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024267 ABS.ZA01-30-AAS Depth Filter Cartridge (3024267)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 1.0   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Encap. Gasket   O-Ring / Gasket /  Silicon        Length in inch 30   Length in cm 76.2   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024268\3024268-ABS.ZA01-30-ESE-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024268 ABS.ZA01-30-ESE Depth Filter Cartridge (3024268)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 1.0   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 222   Adapter 2 Flat end   O-Ring / Gasket /  EPDM        Length in inch 30   Length in cm 76.2   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024269\3024269-ABS.ZA01-40-AAE-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024269 ABS.ZA01-40-AAE Depth Filter Cartridge (3024269)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 1.0   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Encap. Gasket   O-Ring / Gasket /  EPDM        Length in inch 40   Length in cm 101.6   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024280\3024280-ABS.ZA01-40-AKE-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024280 ABS.ZA01-40-AKE Depth Filter Cartridge (3024280)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 1.0   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Encap. Gasket   Adapter 2 Spring   O-Ring / Gasket /  EPDM        Length in inch 40   Length in cm 101.6   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024281\3024281-ABS.ZA01-40-EHS-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024281 ABS.ZA01-40-EHS Depth Filter Cartridge (3024281)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 1.0   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 222   Adapter 2 Fin   O-Ring / Gasket /  Silicon        Length in inch 40   Length in cm 101.6   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024282\3024282-ABS.ZA01-40-FHS-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024282 ABS.ZA01-40-FHS Depth Filter Cartridge (3024282)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 1.0   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 226   Adapter 2 Fin   O-Ring / Gasket /  Silicon        Length in inch 40   Length in cm 101.6   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 6 pieces              
lenntech-selection-suez\lenntech-suez\products\SUEZ-Absolute.Za\3024283\3024283-ABS.ZA01-40-YYP-Depth-Filter-Cartridge\index.html, SUEZ Absolute.Za 3024283 ABS.ZA01-40-YYP Depth Filter Cartridge (3024283)    Brand SUEZ Absolute.Za   Type Depth Filter Cartridge   Pore Size µ 1.0   Max Temperature °C 82   Max Temperature °F 180   Adapter 1 Gasket   Adapter 2 Gasket   O-Ring / Gasket /  Santoprene        Length in inch 40   Length in cm 101.6   outer diameter inch Ø2.5   outer diameter cm Ø6.4   Quantity per case 18 pieces              
